data,hora,evento,local
4 de janeiro de 2016,15:30,"O Presidente da República agracia, com o grau de Comendador da Ordem do Infante D. Henrique, o Presidente do Comité Olímpico de Portugal e três atletas olímpicos medalhados",""
5 de janeiro de 2016,10:30,"O Presidente da República recebe, em audiência, o Presidente do Tribunal Constitucional",""
5 de janeiro de 2016,15:00,"Por ocasião do 30º aniversário da adesão de Portugal às Comunidades Europeias, o Presidente da República homenageia várias personalidades ligadas ao processo de integração europeia",""
5 de janeiro de 2016,18:45,"O Presidente da República recebe os cumprimentos dos Embaixadores de Portugal acreditados junto de vários Estados e organizações internacionais, por ocasião do Seminário Diplomático que decorre em Lisboa",""
6 de janeiro de 2016,10:30,"O Presidente da República recebe o Presidente, os Vice-Presidentes, os Líderes dos Grupos Parlamentares e os membros da Mesa da Assembleia da República, que lhe apresentaram cumprimentos de Ano Novo",""
6 de janeiro de 2016,18:00,"O Presidente da República  recebe o Rancho Filarmónico da Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental, de Castelo Branco, o Grupo Coral Espranjar, de Fermentelos, Águeda, o Grupo de Cantares “As Nossas Raízes”, da Associação de Apoio aos Deficientes Visuais do Distrito de Braga, de Póvoa de Lanhoso, e o Grupo de Danças e Cantares do Centro Social Cultural e Recreativo de Montes da Senhora, de Proença-a-Nova, que cantarão “as Janeiras” no Palácio de Belém",""
7 de janeiro de 2016,11:30,"O Presidente da República recebe, em audiência, a Direção da Federação Nacional das Associações Juvenis",""
7 de janeiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
8 de janeiro de 2016,18:25,"O Presidente da República participa na Cerimónia Comemorativa do 30.º aniversário da adesão de Portugal às Comunidades Europeias, proferindo uma intervenção
","Mosteiro de Jerónimos, Lisboa"
11 de janeiro de 2016,11:30,"O Presidente da República recebe, em audiência, a Direção da Associação Portuguesa de Famílias Numerosas",""
11 de janeiro de 2016,15:30,"O Presidente da República  recebe, em audiência, a Direção do Centro de Estudos dos Povos e Culturas de Expressão Portuguesa",""
12 de janeiro de 2016,"",O Presidente da República recebe as cartas credenciais de novos Embaixadores em Portugal:,""
12 de janeiro de 2016,10:00,"Embaixadora da Ucrânia, Senhora Inna Ohnvets",""
12 de janeiro de 2016,10:25,"Embaixador da Tailândia, Krairawee Sirikul",""
12 de janeiro de 2016,10:50,"Embaixador da Sérvia, Oliver Antic",""
12 de janeiro de 2016,11:15,"Apresentação conjunta de credenciais por Embaixadores Não-Residentes:

- Embaixador do Djibouti, Ayeid Mousseid Yahya
- Embaixador de Fiji, Deo Saran
- Embaixador do Sri Lanka, Tilak Ranaviraja
- Embaixador da Zâmbia, Humphrey Chibanda",""
12 de janeiro de 2016,18:00,O Presidente da República confere posse aos novos membros do Conselho de Estado,""
13 de janeiro de 2016,11:25,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção
",Palácio de Queluz
14 de janeiro de 2016,12:30,"O Presidente da República recebe os cumprimentos de Ano Novo dos Chefes dos Estados-Maiores das Forças Armadas, a quem oferece um almoço",""
14 de janeiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
18 de janeiro de 2016,15:00,"O Presidente da República inaugura as novas instalações do fabricante de equipamentos agrícolas e industriais TOMIX
","Local: Ramalhal, Torres Vedras"
19 de janeiro de 2016,11:30,O Presidente da República condecora com o Título de Membro Honorário da Ordem da Instrução Pública o Instituto Superior de Ciências Sociais e Políticas (ISCSP),""
19 de janeiro de 2016,15:00,"O Presidente da República visita o Hospital das Forças Armadas
","Azinhaga dos Ulmeiros, Paço do Lumiar, Lisboa"
20 de janeiro de 2016,11:30,"O Presidente da República recebe, em audiência, os órgãos diretivos da CASES - Cooperativa António Sérgio para a Economia Social",""
20 de janeiro de 2016,"","O Presidente da República recebe cumprimentos de Ano Novo do Presidente e dos Vice-Presidentes do Supremo Tribunal de Justiça, do Presidente e dos Juízes do Tribunal Constitucional, do Presidente e dos Vice-Presidentes do Supremo Tribunal Administrat",""
20 de janeiro de 2016,15:00,Presidente e Vice-Presidentes do Supremo Tribunal de Justiça,""
20 de janeiro de 2016,15:30,Presidente e Juízes do Tribunal Constitucional,""
20 de janeiro de 2016,16:00,Presidente e Vice-Presidentes do Supremo Tribunal Administrativo,""
20 de janeiro de 2016,16:30,Procuradora-Geral da República,""
22 de janeiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
24 de janeiro de 2016,13:00,O Presidente da República exerce o direito de voto nas Eleições Presidenciais,""
28 de janeiro de 2016,12:30,"O Presidente da República recebe o Presidente da República Eleito, Prof. Doutor Marcelo Rebelo de Sousa, a quem seguidamente oferecerá um almoço",""
29 de janeiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
1 de fevereiro de 2016,15:30,"O Presidente da República recebe, em audiência, a Secretária-Geral da Conferência Ibero-Americana, Rebeca Grynspan",""
2 de fevereiro de 2016,11:30,"O Presidente da República condecora, com a Grã-Cruz da Ordem da Liberdade, o Eng. António Guterres, antigo Alto Comissário das Nações Unidas para os Refugiados",""
3 de fevereiro de 2016,11:00,"O Presidente da República visita a Escola Prática de Polícia, da Polícia de Segurança Pública

- Guarda de Honra
- Visita às instalações
- Sessão Solene – Anfiteatro
  - Intervenção do Diretor Nacional da PSP, Superintendente-Chefe
    Luís Manuel Peça Farinha
  - Intervenção do Presidente da República
  - Cerimónia de imposição de condecoração
- Fotografia de grupo
- Almoço","Largo das Forças Armadas, Torres Novas
"
3 de fevereiro de 2016,"",Visita do Presidente da República ao Concelho de Rio Maior,""
3 de fevereiro de 2016,15:00,Visita às Salinas de Rio Maior,""
3 de fevereiro de 2016,15:35,"Visita à Nobre Alimentação, SA",""
3 de fevereiro de 2016,16:20,"Visita ao Complexo Desportivo de Rio Maior

- Intervenção da Presidente da Câmara Municipal de Rio Maior, Dra. Isaura Morais
- Intervenção do Presidente da República",""
4 de fevereiro de 2016,16:45,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
10 de fevereiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
11 de fevereiro de 2016,11:30,"O Presidente da República visita o Centro de Formação de Portalegre da Escola da Guarda, da Guarda Nacional Republicana

- Guarda de Honra
- Visita às instalações
- Sessão Solene – Igreja do Antigo Convento de S. Bernardo
  - Intervenção do Comandante-Geral da GNR, Tenente-General
    Manuel Mateus Costa da Silva Couto
  - Intervenção do Presidente da República
  - Cerimónia de imposição de condecoração
- Fotografia de grupo
- Almoço","Local: Avenida George Robinson, Portalegre
"
11 de fevereiro de 2016,14:45,O Presidente da República inaugura o Lar Residencial do Espírito Santo e a Estrutura Residencial para Pessoas Idosas Dr. Plínio Serrote da Santa Casa da Misericórdia de Portalegre,""
11 de fevereiro de 2016,16:30,Visita a Igreja de S. Francisco de Évora e Inauguração dos Núcleos Museológicos,""
12 de fevereiro de 2016,11:00,"O Presidente da República recebe, em audiência, o Presidente do Governo Regional da Madeira, Dr. Miguel Albuquerque",""
12 de fevereiro de 2016,16:00,"O Presidente da República condecora antigos membros de Governos com a Grã-Cruz da Ordem do Infante D. Henrique:

- Álvaro Miguel Rodrigues dos Santos Pereira
- António José de Castro Bagão Félix
- Luís Manuel Moreira de Campos e Cunha
- Maria de Lurdes Reis Rodrigues
- Nuno Paulo de Sousa Arrobas Crato
- Paulo José de Ribeiro Moita de Macedo
- Rui Carlos Pereira
- Vítor Louçã Rabaça Gaspar",""
16 de fevereiro de 2016,11:15,"O Presidente da República recebe, em audiência, o Chefe do Estado-Maior General das Forças Armadas, General Artur Pina Monteiro",""
16 de fevereiro de 2016,11:45,"O Presidente da República recebe, em audiência, o Prof. Doutor Adriano Moreira e o Dr. Nazim Ahmad, Representante em Portugal da Rede Aga Khan para o Desenvolvimento",""
16 de fevereiro de 2016,15:30,"O Presidente da República recebe, em audiência, os órgãos diretivos da Liga dos Bombeiros Portugueses",""
16 de fevereiro de 2016,17:30,"O Presidente da República visita a Sociedade Histórica da Independência de Portugal, proferindo uma intervenção",""
17 de fevereiro de 2016,11:30,"O Presidente da República preside à Cerimónia de Despedida que as Forças Armadas promovem no Instituto Universitário Militar

- Revista às Forças em Parada
- Homenagem aos Mortos em Combate
- Intervenção do Chefe do Estado-Maior General das Forças Armadas,
  General Artur Pina Monteiro
- Intervenção do Presidente da República
- Desfile das Forças em Parada",""
17 de fevereiro de 2016,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
18 de fevereiro de 2016,11:00,"O Presidente da República recebe, em audiência, o Representante da República para a Região Autónoma dos Açores, Embaixador Pedro Catarino",""
18 de fevereiro de 2016,11:30,"O Presidente da República recebe, em audiência, a Direção do Instituto para a Promoção e Desenvolvimento da América Latina (IPDAL)",""
