data,hora,evento,local
2 de abril de 2018,16:00,"Inauguração da exposição “Mais Alto e Mais Longe - Por uma Causa”, com fotografias das expedições de Ângelo Felgueiras, a favor da Acreditar - Associação de Pais e Amigos de Crianças com Cancro
","Praça central do Centro Comercial Colombo, Lisboa"
3 de abril de 2018,"",Apresentação de cartas credenciais de novos Embaixadores em Portugal:,""
3 de abril de 2018,15:00,"Embaixador de Israel, Raphael Gamzou",""
3 de abril de 2018,15:25,"Embaixador de Moçambique, Joaquim Casimiro Simeão Bule",""
3 de abril de 2018,15:50,"Embaixador de Itália, Uberto Vanni d’Archirafi",""
3 de abril de 2018,16:15,"Apresentação conjunta de cartas credenciais pelos Embaixadores Não-Residentes:

- Embaixador da Tanzânia, Samuel William Shelukindo
- Embaixadora do Brunei, Datin Paduka Haji Yussof
- Embaixadora do Burundi, Christine Nina Niyonsavye
- Embaixador da Letónia, Janis Silis",""
4 de abril de 2018,12:00,"Visita ao Estabelecimento Prisional de Santa Cruz do Bispo - Feminino
","Santa Cruz do Bispo, Matosinhos"
5 de abril de 2018,17:45,"Sessão de encerramento da Conferência Internacional “Higher Education in Emergencies” (Educação Superior em Situações de Emergência)
","Fundação Calouste Gulbenkian, Lisboa"
5 de abril de 2018,19:00,"Cerimónia de Agraciamento do Antigo Presidente do Parlamento Europeu, Martin Schulz",""
7 de abril de 2018,12:00,"Visita à exposição fotográfica “Mulheres Ciganas” seguido de almoço com Comunidade Cigana, por ocasião do Dia Internacional dos Ciganos que se celebra a 8 de abril
",Câmara Municipal da Maia 
8 de abril de 2018,"","Visita a França por ocasião das Comemorações do Centenário da Batalha de La Lys
 
8 e 9 de abril de 2018",""
8 de abril de 2018,17:00,Descerramento de placa comemorativa do Centenário da Batalha de La Lys na Avenue des Portugais em Paris,""
8 de abril de 2018,18:30,Cerimónia Militar de Homenagem ao Soldado Desconhecido Francês no Arco do Triunfo em Paris,""
9 de abril de 2018,"","Visita a França por ocasião das Comemorações do Centenário da Batalha de La Lys
 
8 e 9 de abril de 2018",""
9 de abril de 2018,08:00,"Pequeno-almoço de trabalho com o Presidente da República Francesa, Emmanuel Macron, no Palácio do Eliseu em Paris",""
9 de abril de 2018,10:30,"Cerimónia Militar de Homenagem aos Portugueses que perderam a vida na Primeira Guerra Mundial no Cemitério Militar Português de Richebourg, com a presença do Presidente da República Francesa, Emmanuel Macron",""
9 de abril de 2018,12:00,"Visita à exposição “Racines” (Raízes) de Aurore Rouffelaers junto no Pavilhão Desportivo de Richebourg

- Imposição da Medalha da Defesa Nacional, 4ª Classe, a três cidadãos residentes em França e dirigentes da Liga dos Combatentes: Felícia Pailleux, Afonso Maia (a título póstumo) e João Marques
- Almoço no Pavilhão Desportivo de Richebourg",""
9 de abril de 2018,14:00,Visita à igreja de La Couture,""
9 de abril de 2018,14:15,Cerimónia Militar de Homenagem no Monumento aos Portugueses mortos na Grande Guerra em La Couture,""
